,0,
0,グランピングマスター,2750
1,ビア缶チキン野郎,2200
2,ソーセージ＆自家製ベーコン盛り合わせ,1080
3,地鶏とねぎ1本焼き,850
4,イベリコ豚肩ロース,980
5,牛ハラミ,1280
6,炭ボナーラ,1080
7,魚介のペスカトーレ,1280
8,スモークサーモンのクリームパスタ,1180
9,ハーフ＆ハーフ,1540
10,ハーフ＆ハーフ,1540
11,海老とエリンギのアヒージョ,700
12,砂肝とニンニクの芽の激辛アヒージョ,700
13,カマンベールとトマトの味噌アヒージョ,800
14,バケット,200
15,ガーリックトースト,250
16,アンチョビトースト,250
17,小松菜サラダ,500
18,菜彩鶏とアボカドのコブサラダ,880
19,彩りバーニャカウダ,920
20,毛沢東唐揚げ,630
21,エリンギアンチョビバター,630
22,オリーブ盛り,298
23,クリームチーズ味噌漬け,420
24,ローストビーフ,720
25,自家製燻製各種,1080
26,小松菜キムチ,498
27,新鮮！生牡蠣,1080
28,魚介のパエリア,1280
29,ロコモコ丼,0
30,ミニ牛ハラミ丼,0
31,飯盒炊飯,380
32,炭シフォンケーキ,550
33,炭焼きまっ黒バナナ,498
34,ニューヨークチーズケーキ,550
35,カタラーナ,550
36,ガトーショコラ,550
37,コーヒー,480
38,,